0,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,July,31,UTTAR PRADESH,3184,SAMBHAL,361724,240.816929,16,57,22.4527,1090,41,17331,474780,130521,35311,220,56,0,1165.803315,28020,30937,91168,117600,0,150141,188876,18421,1143.350615,134449,11,65.61,75.93,100.45,NA
2025-2026,June,31,UTTAR PRADESH,3109,BIJNOR,869582,242.1192227,14,189,56.60613,2060,19,21468,1174593,449830,113840,5996,1075,0,2900.521572,78646,91987,181898,265610,5,269194,374337,23528,2843.915442,408679,12,62.12,88.88,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3112,SAHARANPUR,281898,255.8907921,14,16,46.1998548,730,19,14950,487524,217675,66054,889,279,0,1293.72888,32558,36783,85146,127626,3,165142,228557,15680,1247.529026,196910,19,75.02,82.68,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3117,BULANDSHAHR,87224,235.6214469,17,40,15.71288,358,88,10774,192825,41721,9554,88,40,0,470.049935,10758,11282,36579,45707,1,89796,109794,11132,454.337055,73535,7,69.79,79.23,100.15,NA
2025-2026,June,31,UTTAR PRADESH,3118,ALIGARH,641906,244.6589411,16,171,58.7917781,1010,12,18826,646150,148119,37948,870,203,0,1639.655526,38018,42029,118606,154137,2,198145,250951,19836,1580.863748,210868,20,62.26,70.84,100.09,NA
2025-2026,June,31,UTTAR PRADESH,3119,MATHURA,620686,249.1730991,25,56,30.40799,1680,56,13340,1115206,303615,36184,1850,232,0,2809.201342,43170,51169,88779,119528,21,144258,192093,15020,2778.793352,473292,14,66.06,79.94,100,NA
2025-2026,June,31,UTTAR PRADESH,3120,AGRA,748642,249.6336913,23,125,65.6361765,600,31,16496,1363691,386995,52303,5938,733,0,3469.868358,56890,70875,120465,174404,2,187983,261865,17096,3404.232182,563743,28,45.06,83.88,100.09,NA
2025-2026,June,31,UTTAR PRADESH,3122,ETAH,221903,250.4596006,22,99,80.6806023,1679,28,12888,668829,129085,20933,479,53,0,1755.827044,30380,32824,83124,105063,5,147652,184326,14567,1675.146442,240215,10,56.24,77.77,100.5,NA
2025-2026,June,31,UTTAR PRADESH,3126,PILIBHIT,792194,248.9242786,16,372,103.2135298,2914,43,16775,815300,152358,39276,3865,594,0,2132.693173,48076,56015,138274,217035,6,250086,368530,19689,2029.479643,171456,21,44.22,72.82,100.13,NA
2025-2026,June,31,UTTAR PRADESH,3132,LUCKNOW,119882,258.9254651,14,34,21.68094,539,6,11183,114661,77614,47741,470,223,0,318.5674675,7980,8604,49295,72998,0,130931,194908,11722,296.8865275,35513,12,59,74.1,100.07,NA
2025-2026,June,31,UTTAR PRADESH,3141,HAMIRPUR,898955,249.3598341,28,102,19.76854,623,0,16038,1348459,263126,40871,913,76,0,3382.283665,46868,62514,113992,184214,46,179444,287887,16661,3362.515125,582568,44,54.35,91.11,100,NA
2025-2026,June,31,UTTAR PRADESH,3150,SULTANPUR,1539329,248.6385607,28,181,73.90354,4410,43,21304,2076952,512513,74399,5186,597,0,5238.0071,73596,79224,205516,283643,8,351412,485456,25714,5164.10356,1022811,26,40.97,71.04,100.26,NA
2025-2026,June,31,UTTAR PRADESH,3159,BALLIA,527784,247.6816449,24,140,61.346694,5670,86,21009,1298150,295548,45281,44320,7289,0,3276.625968,52304,58417,155937,200481,16,318681,397844,26679,3215.279274,593762,22,72.94,90.54,100.03,NA
2025-2026,June,31,UTTAR PRADESH,3170,KAUSHAMBI,410118,247.5671281,22,77,13.6562,1018,33,11848,492987,236591,49391,447,68,0,1234.129958,22402,25305,76380,106583,2,143097,189340,12866,1220.473758,257666,38,39.37,87.28,101.55,NA
2025-2026,June,31,UTTAR PRADESH,3176,SHRAVASTI,715678,253.165003,30,124,77.09849,2050,14,9477,1033346,269556,30176,8675,1048,0,2693.168922,33787,39539,75036,108059,65,124734,170378,11527,2616.070432,467422,24,49.5,90.76,100.08,NA
2025-2026,June,31,UTTAR PRADESH,3179,MAHOBA,350533,245.3908902,22,152,14.42265,431,14,9069,258921,64668,21688,195,92,0,649.7911967,11501,15252,44953,81760,10,99412,167349,9500,635.3685467,104749,40,39.89,86.18,101.85,NA
2025-2026,July,31,UTTAR PRADESH,3121,FIROZABAD,1226464,245.6854043,25,175,28.3017371,2564,26,15122,1423391,376639,34657,2090,212,0,3525.36567,56193,58046,107750,134821,10,160549,200104,17686,3497.063932,584601,18,70.02,80.63,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3125,BAREILLY,1120664,251.64679,20,242,37.0345838,3003,69,24572,1151124,239291,54233,681,159,0,2933.801179,57354,66178,163490,240351,14,281377,387720,27575,2896.766595,225415,26,46.26,75.7,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3133,RAE BARELI,879610,243.5084344,19,165,109.0736515,3584,9,21907,900633,511338,125865,428,142,0,2302.19097,45570,50714,154871,244655,12,305853,442119,25491,2193.117318,443446,12,48.06,69.73,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3142,BANDA,876004,251.7972541,25,230,35.7863444,3015,6,17429,580054,136066,46674,190,44,0,1496.346389,23009,29620,121507,195619,9,230184,357152,20444,1460.560044,268117,55,50.82,75.43,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3147,GONDA,1390499,248.2190733,29,158,43.4616464,2751,67,23971,1622997,425511,50523,3695,263,0,4072.049759,55834,59062,156927,200492,32,335290,425280,26722,4028.588113,666462,26,61.52,79.51,100.24,NA
2025-2026,July,31,UTTAR PRADESH,3153,BASTI,3704788,250.7344071,26,224,74.6465518,5040,20,28865,3351320,924906,96595,485,48,0,8477.558883,125625,138576,285215,360391,39,410929,512726,33905,8402.912331,1773760,15,51.19,90.95,100.01,NA
2025-2026,July,31,UTTAR PRADESH,3172,KUSHI NAGAR,1375476,254.8463166,27,381,110.6263148,7579,32,26597,2254165,570763,67119,16833,1812,0,5855.282788,82859,97232,183375,257997,49,385379,519061,34176,5744.656474,972074,23,64.78,81.09,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3177,CHITRAKOOT,503130,248.3258301,25,124,42.69537,2239,10,12128,452408,170816,58257,239,29,0,1166.141291,18004,22873,80287,133076,26,143366,229709,14367,1123.445921,231568,56,66.44,81.92,100.23,NA
2025-2026,July,31,UTTAR PRADESH,3182,HAPUR,72533,246.6075454,16,4,0.3915,121,13,1607,42043,23851,4416,1,4,0,104.0727103,2531,2795,8191,9689,0,16894,20625,1728,103.6812103,18089,4,84.79,99.97,100.17,NA
2025-2026,July,31,UTTAR PRADESH,3112,SAHARANPUR,438956,255.2486188,15,16,46.1998548,733,16,15012,512699,230136,66061,989,279,0,1354.856971,33516,37940,85154,127646,3,165153,228577,15745,1308.657116,206527,19,75.04,82.91,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3131,UNNAO,715266,254.0196593,23,109,33.75496,1487,34,21795,874684,299475,60133,2300,289,0,2255.624276,37436,39947,122087,162547,22,273662,353939,23282,2221.869316,318365,25,43.06,70.78,100.01,NA
2025-2026,July,31,UTTAR PRADESH,3132,LUCKNOW,194560,258.4265962,14,37,21.68094,539,6,11261,124042,83791,47752,541,223,0,342.2384584,8485,9160,49310,73021,0,130937,194918,11800,320.5575184,38294,12,58.69,73.71,100.07,NA
2025-2026,July,31,UTTAR PRADESH,3133,RAE BARELI,879610,242.9076093,19,164,109.0736515,3564,11,21638,838271,477101,125850,413,142,0,2145.297697,44073,48909,154859,244630,12,305843,442099,25202,2036.224045,414455,12,48.2,70.31,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3150,SULTANPUR,2106815,247.4877051,28,185,73.90354,4551,39,21277,2159178,535157,74422,5330,598,0,5417.60362,75167,80933,205537,283691,11,351463,485558,25828,5343.70008,1060180,26,41.19,71.22,100.26,NA
2025-2026,July,31,UTTAR PRADESH,3154,GORAKHPUR,2678910,250.7566929,31,171,64.4571232,4228,34,23395,3186221,1121994,90048,4782,348,0,8054.119531,102626,110950,185027,255266,72,349996,464390,27623,7989.662407,1617043,16,59.26,89.47,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3158,JAUNPUR,3302912,250.9822615,23,458,87.158167,10620,88,34915,2299604,783426,142658,79,28,0,5858.756293,96249,100602,296689,397036,4,482422,642754,45535,5771.598126,1205678,39,67.63,85.66,100.34,NA
2025-2026,July,31,UTTAR PRADESH,3159,BALLIA,892094,244.4946168,25,141,61.346694,5884,81,21065,1375698,312588,45349,47487,7310,0,3424.854248,53787,60145,156164,200802,18,318747,397932,26949,3363.507554,630098,22,73.72,91.04,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3178,AMBEDKAR NAGAR,1208053,250.0636067,24,95,21.00776,2452,69,23511,1231360,480697,77429,2536,449,0,3100.190987,50650,55047,150577,202064,39,272968,350185,25963,3079.183227,618885,24,47.91,92.79,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3179,MAHOBA,462284,240.2102901,23,155,14.42265,439,13,9080,272988,68394,21717,205,92,0,670.1679167,11816,15699,44978,81808,13,99420,167367,9519,655.7452667,110457,40,40.16,86.67,101.9,NA
2025-2026,July,31,UTTAR PRADESH,3180,KASHGANJ,495794,246.816802,14,222,41.4714,1121,16,8513,373340,84994,25561,474,87,0,962.9372487,25827,28703,79064,112475,0,114443,156097,9634,921.4658487,86601,9,55.72,91.79,100,NA
2025-2026,July,31,UTTAR PRADESH,3182,HAPUR,72533,245.3462413,15,4,0.3915,115,13,1612,39224,22113,4416,1,4,0,96.6261097,2456,2710,8191,9689,0,16891,20618,1727,96.2346097,16914,4,86.9,99.96,100.19,NA
2025-2026,June,31,UTTAR PRADESH,3109,BIJNOR,869582,246.6500707,14,184,56.60613,2042,20,20698,1109653,422184,113762,5924,1075,0,2793.566039,76436,89161,181759,265412,5,269150,374274,22740,2736.959909,387700,12,62.43,88.48,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3110,MORADABAD,463142,269.4308169,18,139,13.906,1857,62,15114,699570,128536,30902,326,113,0,1898.763166,37098,42818,107468,147654,0,193117,267181,16971,1884.857166,204345,16,60.83,76.79,100.01,NA
2025-2026,June,31,UTTAR PRADESH,3112,SAHARANPUR,281898,252.9701861,14,16,46.1998548,717,20,14865,457679,206323,66048,858,279,0,1203.991273,31603,35655,85139,127607,2,165122,228521,15582,1157.791418,186461,19,74.84,82.67,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3119,MATHURA,620686,250.2384015,25,56,30.40799,1604,56,13262,1075722,293140,36179,1835,232,0,2722.277527,42464,50273,88773,119518,21,144233,192060,14866,2691.869537,458326,14,66.32,79.81,100,NA
2025-2026,June,31,UTTAR PRADESH,3132,LUCKNOW,119882,254.3149578,14,32,21.68094,516,6,11137,109706,74229,47738,444,223,0,300.6797076,7802,8388,49292,72992,0,130923,194897,11653,278.9987676,33967,12,58.42,73.5,100.08,NA
2025-2026,June,31,UTTAR PRADESH,3136,KANPUR DEHAT,395488,252.8863907,17,81,58.551049,2060,61,15778,258650,91287,44884,223,109,0,712.6416986,15203,16496,79037,108100,1,159482,207432,17838,654.0906496,92355,30,30.74,51.96,100.2,NA
2025-2026,June,31,UTTAR PRADESH,3143,FATEHPUR,798689,269.3566151,19,127,314.2330803,2371,21,15598,501863,191516,69812,178,122,0,1666.034269,26269,28008,150394,189640,4,267728,328149,17969,1351.801189,196331,23,55.97,85.48,100.05,NA
2025-2026,June,31,UTTAR PRADESH,3148,BARABANKI,1701724,254.8357295,26,266,593.4455681,3478,31,25990,1831575,797510,122847,1414,125,0,5260.953081,70093,79204,205613,280270,51,380061,496771,29468,4667.507513,630454,18,50.5,89.59,100.7,NA
2025-2026,June,31,UTTAR PRADESH,3152,MAHARAJGANJ,2383496,252.5737659,25,285,49.80542,4119,3,28833,2878346,650743,75705,13271,1735,0,7319.752307,111650,128823,226839,336612,73,375788,530940,32952,7269.946887,1559344,16,62.44,90.7,100,NA
2025-2026,June,31,UTTAR PRADESH,3153,BASTI,3268439,255.4896059,24,205,74.6465518,4721,38,28485,2800455,785702,96373,411,48,0,7229.517996,113455,124562,284576,359532,22,410878,512616,33206,7154.871444,1476987,16,50.96,90.69,100.01,NA
2025-2026,June,31,UTTAR PRADESH,3154,GORAKHPUR,2408178,245.2867546,29,171,64.4571232,3904,36,23359,2984527,1048405,89776,4683,348,0,7385.106541,100701,108729,184957,254467,62,349973,463186,27263,7320.649418,1515026,16,59.32,89.85,100.03,NA
2025-2026,June,31,UTTAR PRADESH,3155,DEORIA,924197,251.8958238,24,69,101.90005,2035,116,19661,1227796,280756,37948,44308,5603,0,3194.666899,49757,52664,121356,152859,1,225672,281927,21696,3092.766849,530075,12,62.44,92.6,100.03,NA
2025-2026,June,31,UTTAR PRADESH,3158,JAUNPUR,2494767,250.6549358,22,445,87.158167,10382,98,34708,2099192,715694,142561,79,28,0,5348.886528,91348,95339,296547,396663,4,482359,642483,45090,5261.728361,1101814,39,67.27,85.26,100.34,NA
2025-2026,June,31,UTTAR PRADESH,3166,HATHRAS,171354,245.2930343,17,42,22.6937712,544,19,7273,327784,108028,21729,281,51,0,826.7250908,18855,21374,47715,65316,1,81640,105958,7817,804.0313196,78950,5,60.44,83.7,100,NA
2025-2026,June,31,UTTAR PRADESH,3170,KAUSHAMBI,410118,241.3610872,21,77,13.6562,998,36,11813,471801,227652,49378,425,68,0,1152.400223,21839,24632,76373,106564,2,143054,189280,12811,1138.744023,246915,38,39.81,86.95,101.66,NA
2025-2026,June,31,UTTAR PRADESH,3180,KASHGANJ,321955,248.1548781,13,207,41.4714,1020,17,8504,325626,74074,25553,366,87,0,849.5282034,24314,26926,79060,112447,0,114400,156013,9524,808.0568034,74625,9,56.25,91.3,100.01,NA
2025-2026,June,31,UTTAR PRADESH,3184,SAMBHAL,187721,237.6880947,16,54,22.4527,996,45,17230,415913,112612,35292,189,56,0,1011.028385,25769,28405,91122,117532,0,150129,188842,18226,988.5756853,119180,11,63.99,75.14,100.5,NA
2025-2026,July,31,UTTAR PRADESH,3115,MEERUT,158534,247.2200636,25,36,12.5460082,1750,45,4137,221550,106380,11927,1952,138,0,560.2620591,8541,9210,22380,26762,1,47852,56409,5887,547.7160509,84520,14,31.72,76.19,100.1,NA
2025-2026,July,31,UTTAR PRADESH,3121,FIROZABAD,1226464,248.3416763,25,178,28.3017371,2627,23,15339,1488104,392834,34675,2186,212,0,3723.884156,57417,59324,107796,134911,10,160649,200381,17966,3695.582419,610043,18,69.57,79.82,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3125,BAREILLY,1120664,250.8384429,20,253,37.0345838,3046,63,24938,1217554,252378,54284,761,159,0,3091.128079,58878,68078,163621,240542,14,281405,387761,27984,3054.093495,237256,26,46.9,76.36,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3126,PILIBHIT,907021,247.4622329,18,384,103.2135298,3405,36,17085,916792,172082,39311,4255,599,0,2371.927484,50679,59161,138443,217298,9,250221,368744,20490,2268.713954,191765,22,43.01,71.43,100.17,NA
2025-2026,July,31,UTTAR PRADESH,3131,UNNAO,715266,253.0232379,25,114,33.75496,1653,32,22118,1002108,347375,60172,2495,289,0,2569.321069,39629,42386,122142,162646,25,273713,354019,23771,2535.566109,363746,25,44,71.7,100.02,NA
2025-2026,July,31,UTTAR PRADESH,3136,KANPUR DEHAT,561112,251.4831959,18,88,58.551049,2103,34,16528,331637,121893,44911,245,109,0,892.5623755,17631,19236,79125,108236,1,159544,207555,18631,834.0113265,111900,29,35.1,55.99,100.54,NA
2025-2026,July,31,UTTAR PRADESH,3145,PRAYAGRAJ,1501702,249.9572258,21,132,133.4793832,7980,7,26891,1344415,653231,150850,727,137,0,3493.941821,61156,70642,220247,319381,69,469489,647133,34871,3360.462438,648748,25,51.35,80.39,100.04,NA
2025-2026,July,31,UTTAR PRADESH,3149,AYODHYA,1021733,260.8898156,24,79,29.89886,4622,19,19687,1298689,527309,71336,2419,256,0,3418.046197,53541,58023,129231,181731,22,233484,311485,24309,3388.147337,652239,17,31.44,91.68,100.01,NA
2025-2026,July,31,UTTAR PRADESH,3150,SULTANPUR,2106815,247.0117688,30,190,73.90354,5377,34,20993,2396824,600862,74490,5649,600,0,5994.340897,78855,84997,205672,283939,18,351679,485883,26370,5920.437357,1172586,26,40.95,71,100.24,NA
2025-2026,July,31,UTTAR PRADESH,3159,BALLIA,892094,241.6891454,27,146,61.346694,6131,59,21252,1591304,361379,45534,54253,7335,0,3907.355733,57844,64882,156827,201684,23,318865,398137,27383,3846.009039,727877,23,73.37,90.68,100.03,NA
2025-2026,July,31,UTTAR PRADESH,3160,GHAZIPUR,2637202,238.681218,23,167,46.8962511,6927,45,24002,2502639,610102,94028,22828,3419,0,6020.225497,107622,121763,280036,371774,6,465010,602444,30929,5973.329246,1197741,20,31.88,79.01,100.1,NA
2025-2026,July,31,UTTAR PRADESH,3165,BAGHPAT,7062,228.6239833,13,0,0.6096,56,151,1843,5154,1056,1539,0,4,0,12.3928801,392,427,3579,4651,0,17627,21624,1899,11.7832801,2092,5,90.7,97.2,103.56,NA
2025-2026,July,31,UTTAR PRADESH,3172,KUSHI NAGAR,1375476,253.728874,27,394,110.6263148,7742,31,26738,2376872,599379,67185,17952,1815,0,6141.436876,85073,99936,183501,258181,68,385412,519113,34480,6030.810561,1023525,23,64.89,80.82,100.05,NA
2025-2026,July,31,UTTAR PRADESH,3180,KASHGANJ,495794,246.4413295,15,232,41.4714,1174,13,8649,445243,100786,25565,499,87,0,1138.734169,27931,31179,79069,112492,0,114485,156153,9823,1097.262769,102270,9,55.83,92.61,100.08,NA
2025-2026,July,31,UTTAR PRADESH,3114,MUZAFFARNAGAR,130649,240.3142553,17,11,15.5338178,2351,57,4835,138514,34305,11647,315,76,0,348.4027054,7723,8956,31350,41611,5,78117,97212,7186,332.8688876,55379,7,68.26,77.88,100.17,NA
2025-2026,July,31,UTTAR PRADESH,3119,MATHURA,963913,247.1080465,27,59,30.40799,1761,42,13672,1255445,341692,36219,2288,232,0,3132.713604,45584,54361,88861,119626,21,144310,192152,15433,3102.305614,533906,14,65.62,80.25,100,NA
